st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,159,Aspur,Umesh Meena,Bharat Adivasi Party,93168,574,93742,46.7
S20,Rajasthan,159,Aspur,Mukesh,Independent,3008,3,3011,1.5
S20,Rajasthan,159,Aspur,NOTA,None of the Above,3081,5,3086,1.54
S20,Rajasthan,160,Sagwara,Kailash Kumar Roat,Indian National Congress,46082,660,46742,22.68
S20,Rajasthan,160,Sagwara,Dalji Dendor (Meena),Bahujan Samaj Party,1416,7,1423,0.69
S20,Rajasthan,160,Sagwara,Shankarlal Decha,Bharatiya Janata Party,73749,1426,75175,36.47
S20,Rajasthan,160,Sagwara,Shivlal,Aam Aadmi Party,1691,1,1692,0.82
S20,Rajasthan,160,Sagwara,Amritlal Ahari,Bahujan Mukti Party,538,3,541,0.26
S20,Rajasthan,160,Sagwara,Mohanlal Dendor,Bhartiya Tribal Party,3221,21,3242,1.57
S20,Rajasthan,160,Sagwara,Mohanlal Roat,Bharat Adivasi Party,62733,443,63176,30.65
S20,Rajasthan,160,Sagwara,Govardhan Nanoma,Independent,1673,2,1675,0.81
S20,Rajasthan,160,Sagwara,Devilal Ahari,Independent,5492,5,5497,2.67
S20,Rajasthan,160,Sagwara,Pannalal Dodiyar,Independent,2167,8,2175,1.06
S20,Rajasthan,160,Sagwara,Mansingh Roat,Independent,1438,2,1440,0.7
S20,Rajasthan,160,Sagwara,NOTA,None of the Above,3328,11,3339,1.62
S20,Rajasthan,161,Chorasi,Tarachand Bhagora,Indian National Congress,27851,269,28120,13.64
S20,Rajasthan,161,Chorasi,VIJAYPAL,Bahujan Samaj Party,1359,3,1362,0.66
S20,Rajasthan,161,Chorasi,Shankarlal,Aam Aadmi Party,1903,11,1914,0.93
S20,Rajasthan,161,Chorasi,Sushil Katara,Bharatiya Janata Party,41573,411,41984,20.37
S20,Rajasthan,161,Chorasi,Ranchhodlal Tabiyad,Bhartiya Tribal Party,3309,9,3318,1.61
S20,Rajasthan,161,Chorasi,Rajkumar Roat,Bharat Adivasi Party,110313,837,111150,53.92
S20,Rajasthan,161,Chorasi,Shankarlal Bamaniya,Indian Peoples Green Party,1967,2,1969,0.96
S20,Rajasthan,161,Chorasi,Uday Kumar,Independent,1208,6,1214,0.59
S20,Rajasthan,161,Chorasi,Mahendra Barjod,Independent,11238,76,11314,5.49
S20,Rajasthan,161,Chorasi,NOTA,None of the Above,3794,1,3795,1.84
S20,Rajasthan,162,Ghatol,NANALAL NINAMA,Indian National Congress,87807,528,88335,36.57
S20,Rajasthan,162,Ghatol,NARAYAN LAL,Aam Aadmi Party,3932,3,3935,1.63
S20,Rajasthan,162,Ghatol,BAPULAL GANAVA,Bahujan Samaj Party,1581,4,1585,0.66
S20,Rajasthan,162,Ghatol,MANSHANKAR NINAMA,Bharatiya Janata Party,55159,378,55537,22.99
S20,Rajasthan,162,Ghatol,ASHOK KUMAR,Bharat Adivasi Party,84158,486,84644,35.04
S20,Rajasthan,162,Ghatol,DHIRAJMAL NINAMA,Bhartiya Tribal Party,1864,3,1867,0.77
S20,Rajasthan,162,Ghatol,KANTILAL NINAMA,Independent,1584,2,1586,0.66
S20,Rajasthan,162,Ghatol,NOTA,None of the Above,4086,1,4087,1.69
S20,Rajasthan,163,Garhi,KAILASH CHANDRA MEENA,Bharatiya Janata Party,86279,1113,87392,38.58
S20,Rajasthan,163,Garhi,SHANKARLAL CHARPOTA,Indian National Congress,71412,873,72285,31.91
S20,Rajasthan,163,Garhi,SURYALAL KHANT,Bahujan Samaj Party,1870,5,1875,0.83
S20,Rajasthan,163,Garhi,MANI LAL GARASIYA,Bharat Adivasi Party,43129,396,43525,19.21
S20,Rajasthan,163,Garhi,VIJAY PAL S/O PUNIYA KATARA,Bhartiya Tribal Party,1603,6,1609,0.71
S20,Rajasthan,163,Garhi,VINOD KUMAR ADIVASI,Bahujan Mukti Party,1059,13,1072,0.47
S20,Rajasthan,163,Garhi,KUGALAL AHADA (HADA),Independent,853,3,856,0.38
S20,Rajasthan,163,Garhi,NIPESH DAMOR,Independent,1136,4,1140,0.5
S20,Rajasthan,163,Garhi,PANKAJ CHARPOTA,Independent,3933,13,3946,1.74
S20,Rajasthan,163,Garhi,PREMILA KHARADI,Independent,1898,11,1909,0.84
S20,Rajasthan,163,Garhi,LAXMAN LAL,Independent,2282,13,2295,1.01
S20,Rajasthan,163,Garhi,SHALENDRA ROAT,Independent,3402,18,3420,1.51
